texture,drainage,moisture,organic_matter,compaction,water_retention,color,texture_code,drainage_code,moisture_code,om_code,compaction_code,retention_code,color_code,ph
sandy,poor,moderate,moderate,moderate,high,pale/white,0,2,1,1,1,2,0,6.4
clay-loam,poor,wet,moderate,loose,high,brown,4,2,2,1,0,2,2,6.37
loamy,poor,moderate,moderate,moderate,low,pale/white,2,2,1,1,1,0,0,6.82
silty,good,wet,high,moderate,low,red,3,0,2,2,1,0,5,6.39
silty,good,wet,high,compacted,high,brown,3,0,2,2,2,2,2,6.7
clay,moderate,dry,high,moderate,low,yellow/tan,5,1,0,2,1,0,1,6.95
sandy,poor,moderate,high,loose,low,black/dark,0,2,1,2,0,0,4,5.56
clay-loam,moderate,dry,high,loose,high,pale/white,4,1,0,2,0,2,0,6.48
sandy-loam,poor,moderate,moderate,moderate,moderate,pale/white,1,2,1,1,1,1,0,6.71
sandy,poor,moderate,low,compacted,moderate,dark brown,0,2,1,0,2,1,3,5.61
loamy,moderate,wet,low,loose,moderate,red,2,1,2,0,0,1,5,6.42
clay,moderate,moderate,low,moderate,moderate,black/dark,5,1,1,0,1,1,4,7.09
sandy-loam,good,moderate,low,loose,low,black/dark,1,0,1,0,0,0,4,6.27
clay-loam,moderate,wet,moderate,moderate,low,brown,4,1,2,1,1,0,2,6.63
silty,moderate,wet,low,moderate,low,brown,3,1,2,0,1,0,2,6.58
clay,poor,wet,low,compacted,low,black/dark,5,2,2,0,2,0,4,6.78
clay-loam,good,wet,low,compacted,moderate,dark brown,4,0,2,0,2,1,3,6.76
sandy-loam,good,moderate,low,moderate,moderate,pale/white,1,0,1,0,1,1,0,6.85
silty,good,wet,low,loose,moderate,black/dark,3,0,2,0,0,1,4,6.61
sandy-loam,good,wet,moderate,moderate,moderate,black/dark,1,0,2,1,1,1,4,6.07
sandy,moderate,moderate,moderate,compacted,low,red,0,1,1,1,2,0,5,5.59
sandy-loam,good,dry,moderate,compacted,low,red,1,0,0,1,2,0,5,5.54
silty,poor,dry,low,loose,moderate,black/dark,3,2,0,0,0,1,4,5.76
clay-loam,good,dry,low,moderate,moderate,brown,4,0,0,0,1,1,2,6.8
sandy-loam,poor,moderate,low,moderate,moderate,red,1,2,1,0,1,1,5,5.43
sandy-loam,poor,wet,low,compacted,low,black/dark,1,2,2,0,2,0,4,5.84
loamy,moderate,moderate,moderate,compacted,low,black/dark,2,1,1,1,2,0,4,6.05
clay-loam,poor,dry,low,loose,low,black/dark,4,2,0,0,0,0,4,6.12
sandy-loam,good,wet,high,loose,high,brown,1,0,2,2,0,2,2,6.11
silty,good,wet,high,loose,low,dark brown,3,0,2,2,0,0,3,6.5
sandy,poor,wet,low,moderate,low,dark brown,0,2,2,0,1,0,3,5.9
clay,moderate,dry,high,compacted,moderate,pale/white,5,1,0,2,2,1,0,6.91
clay-loam,good,wet,moderate,loose,high,pale/white,4,0,2,1,0,2,0,7.11
silty,poor,dry,moderate,loose,low,black/dark,3,2,0,1,0,0,4,6.09
clay-loam,moderate,wet,high,compacted,moderate,yellow/tan,4,1,2,2,2,1,1,6.44
loamy,poor,wet,low,moderate,moderate,yellow/tan,2,2,2,0,1,1,1,7.08
clay,good,moderate,moderate,moderate,low,yellow/tan,5,0,1,1,1,0,1,7.0
clay-loam,poor,wet,moderate,loose,low,yellow/tan,4,2,2,1,0,0,1,6.48
clay-loam,good,dry,low,compacted,low,brown,4,0,0,0,2,0,2,7.0
silty,poor,moderate,high,compacted,high,red,3,2,1,2,2,2,5,6.7
silty,moderate,wet,moderate,loose,low,pale/white,3,1,2,1,0,0,0,7.24
loamy,good,dry,moderate,compacted,high,pale/white,2,0,0,1,2,2,0,6.86
sandy-loam,poor,moderate,high,moderate,moderate,dark brown,1,2,1,2,1,1,3,6.04
clay-loam,poor,moderate,high,moderate,high,dark brown,4,2,1,2,1,2,3,6.3
silty,good,moderate,moderate,moderate,moderate,black/dark,3,0,1,1,1,1,4,6.39
sandy-loam,poor,wet,high,compacted,high,brown,1,2,2,2,2,2,2,5.78
sandy-loam,poor,moderate,moderate,compacted,moderate,pale/white,1,2,1,1,2,1,0,6.34
sandy-loam,moderate,wet,high,loose,high,dark brown,1,1,2,2,0,2,3,5.47
clay-loam,good,wet,high,loose,high,brown,4,0,2,2,0,2,2,6.46
silty,poor,moderate,low,loose,moderate,dark brown,3,2,1,0,0,1,3,5.8
clay-loam,moderate,wet,high,compacted,high,dark brown,4,1,2,2,2,2,3,5.83
loamy,poor,dry,moderate,moderate,high,brown,2,2,0,1,1,2,2,6.37
clay-loam,moderate,wet,high,compacted,high,dark brown,4,1,2,2,2,2,3,6.45
sandy-loam,good,wet,moderate,moderate,high,brown,1,0,2,1,1,2,2,6.06
loamy,poor,moderate,moderate,loose,moderate,dark brown,2,2,1,1,0,1,3,6.08
clay,good,wet,high,moderate,low,pale/white,5,0,2,2,1,0,0,6.62
loamy,good,wet,moderate,loose,moderate,pale/white,2,0,2,1,0,1,0,6.52
sandy-loam,good,wet,high,loose,high,red,1,0,2,2,0,2,5,5.71
clay-loam,poor,wet,low,loose,low,brown,4,2,2,0,0,0,2,6.4
sandy,poor,dry,low,loose,low,pale/white,0,2,0,0,0,0,0,5.57
sandy-loam,good,wet,high,compacted,high,pale/white,1,0,2,2,2,2,0,6.59
clay-loam,moderate,moderate,low,compacted,moderate,pale/white,4,1,1,0,2,1,0,7.02
sandy,poor,moderate,high,compacted,moderate,dark brown,0,2,1,2,2,1,3,4.92
sandy,moderate,dry,moderate,loose,high,yellow/tan,0,1,0,1,0,2,1,5.73
silty,moderate,moderate,high,loose,moderate,red,3,1,1,2,0,1,5,6.0
silty,moderate,moderate,moderate,compacted,low,dark brown,3,1,1,1,2,0,3,6.45
loamy,moderate,wet,moderate,compacted,moderate,pale/white,2,1,2,1,2,1,0,6.97
sandy,moderate,moderate,high,moderate,moderate,dark brown,0,1,1,2,1,1,3,5.26
clay,moderate,moderate,low,compacted,low,yellow/tan,5,1,1,0,2,0,1,7.37
loamy,good,moderate,moderate,moderate,moderate,black/dark,2,0,1,1,1,1,4,6.59
sandy-loam,poor,moderate,moderate,loose,moderate,dark brown,1,2,1,1,0,1,3,6.17
silty,moderate,wet,low,compacted,high,dark brown,3,1,2,0,2,2,3,6.22
loamy,moderate,dry,low,loose,low,red,2,1,0,0,0,0,5,6.44
clay,moderate,dry,high,loose,low,black/dark,5,1,0,2,0,0,4,6.3
loamy,moderate,wet,low,loose,moderate,black/dark,2,1,2,0,0,1,4,6.29
sandy,moderate,dry,high,compacted,low,black/dark,0,1,0,2,2,0,4,5.6
clay-loam,good,wet,moderate,moderate,low,black/dark,4,0,2,1,1,0,4,6.31
sandy,poor,wet,moderate,loose,moderate,brown,0,2,2,1,0,1,2,5.8
sandy,moderate,moderate,moderate,compacted,low,yellow/tan,0,1,1,1,2,0,1,5.89
sandy-loam,poor,dry,moderate,loose,low,yellow/tan,1,2,0,1,0,0,1,6.24
clay-loam,moderate,dry,low,loose,low,red,4,1,0,0,0,0,5,6.47
clay,poor,wet,moderate,loose,high,brown,5,2,2,1,0,2,2,6.78
sandy-loam,moderate,moderate,high,compacted,high,brown,1,1,1,2,2,2,2,5.73
silty,good,wet,moderate,moderate,moderate,brown,3,0,2,1,1,1,2,6.67
clay,poor,moderate,moderate,moderate,low,pale/white,5,2,1,1,1,0,0,6.89
loamy,poor,moderate,moderate,loose,low,dark brown,2,2,1,1,0,0,3,6.03
silty,moderate,wet,high,compacted,moderate,red,3,1,2,2,2,1,5,5.58
loamy,moderate,wet,moderate,compacted,low,pale/white,2,1,2,1,2,0,0,6.64
clay,moderate,moderate,high,loose,high,pale/white,5,1,1,2,0,2,0,7.07
sandy-loam,good,dry,low,loose,moderate,black/dark,1,0,0,0,0,1,4,5.88
sandy-loam,moderate,dry,high,moderate,low,yellow/tan,1,1,0,2,1,0,1,6.07
silty,moderate,wet,low,loose,low,brown,3,1,2,0,0,0,2,6.65
clay-loam,poor,moderate,high,loose,high,black/dark,4,2,1,2,0,2,4,6.48
clay-loam,good,wet,moderate,loose,high,dark brown,4,0,2,1,0,2,3,6.57
silty,poor,dry,low,moderate,high,dark brown,3,2,0,0,1,2,3,6.04
loamy,good,dry,moderate,compacted,high,yellow/tan,2,0,0,1,2,2,1,6.65
loamy,poor,moderate,high,moderate,high,dark brown,2,2,1,2,1,2,3,5.53
sandy-loam,good,moderate,moderate,compacted,low,brown,1,0,1,1,2,0,2,6.64
sandy,good,moderate,low,moderate,low,yellow/tan,0,0,1,0,1,0,1,6.11
loamy,poor,wet,high,compacted,moderate,dark brown,2,2,2,2,2,1,3,5.97
sandy-loam,moderate,wet,high,loose,moderate,dark brown,1,1,2,2,0,1,3,5.94
silty,moderate,wet,low,loose,low,dark brown,3,1,2,0,0,0,3,6.63
clay,poor,moderate,high,loose,high,black/dark,5,2,1,2,0,2,4,6.72
clay,moderate,moderate,low,compacted,high,dark brown,5,1,1,0,2,2,3,6.42
clay-loam,good,dry,low,loose,low,dark brown,4,0,0,0,0,0,3,6.69
sandy,poor,dry,moderate,moderate,high,pale/white,0,2,0,1,1,2,0,6.09
loamy,moderate,dry,moderate,loose,low,yellow/tan,2,1,0,1,0,0,1,6.24
